Label,Seat tube length,Teeth on chainring 0,Wheel diameter front,Saddle height,Stack,Seat tube diameter,Head tube length textfield,Dropout spacing
1,588.7,53,689,768,565.6,34,135.6,130
1,460,48,623,600,565.6,28.6,91.8,130
2,535,44,670,755,565.6,35,165,135
2,520,42,699,753,565.6,35,123.6,135
2,457,39,745,830,565.6,31.8,105,135
2,562,36,750,785,565.6,27.5,103.8,135
2,457,39,745,830,565.6,31.8,105.4,135
1,588.7,53,689,768,565.6,34,150.2,130
1,610,50,674,807,565.6,33.4,167.7,130
1,480,52,640,605,565.6,28.6,49,130
2,480,36,670,755,565.6,30,136,135
2,482.6,42,670,718,565.6,31.8,111,135
1,690,54,674,724,565.6,31.8,125,130
2,530,32,736,776,565.6,31.8,150,135
1,465,53,674,728,565.6,32,126.4,130
1,580,44,674,764,565.6,31,148.6,130
2,520,42,699,753,565.6,35,123.6,135
2,520,42,699,753,565.6,35,123.6,135
1,615.6,53,674,702,565.6,35,117.9,130
1,618.7,44,674,777,565.6,28.6,175.8,120
1,530.6,50,674,700,565.6,28.5,100,130
1,515,53,674,718,565.6,31.8,145,130
2,530,42,670,760,565.6,30.8,168,135
1,588.7,48,674,777,565.6,28.6,165.6,130
2,291.1,23,640,365,565.6,30,120.3,130
1,516.9,53,674,718,565.6,31.8,145,120
1,515,53,674,718,565.6,31.8,145,130
1,515.2,53,674,735,565.6,31.8,145,135
1,515,53,674,718,565.6,31.8,145,135
1,515,53,674,718,565.6,31.8,145,130
2,521.5,53,680,718,565.6,31.8,145,135
2,290.9,23,640,365,565.6,30,115,130
1,500,48,611,600,565.6,28,99.8,130
1,500,48,611,600,565.6,28,99.8,130
1,500,48,611,600,565.6,28,99.8,130
2,535,32,805,760,565.6,30.4,130,135
1,567,53,680,718,565.6,39,170.6,120
2,291.1,23,640,365,565.6,30,114.4,130
1,582.5,52,674,755,565.6,31.8,127.7,130
2,515.4,26,670,810,565.6,31.8,160.6,130
1,547.7,52,674,724,565.6,28.6,150.8,130
1,630,52,685,810,565.6,28.6,194.5,130
1,578,53,674,815,565.6,34.8,205.3,130
1,605,53,674,815,565.6,31.8,213,130
2,580,42,670,760,565.6,30.8,161.7,135
2,430,44,655,718,565.6,30,110,130
2,505,42,670,730,565.6,30.2,150,135
2,505,42,670,730,565.6,34.2,165,135
2,505,36,670,730,565.6,30.2,150,135
2,505,36,736,735,565.6,30.2,125,135
2,505,44,670,720,565.6,30.2,150,135
2,480,42,670,700,565.6,34.2,145,135
1,573.9,50,674,751,565.6,31.8,179.8,130
2,520,46,670,735,565.6,30.4,165,135
2,520,36,736,745,565.6,30.4,135,135
1,585.4,53,674,718,565.6,34.9,220.4,130
2,520,36,736,745,565.6,30.4,125,135
1,547.5,52,674,724,565.6,28.6,144.2,130
1,590.3,53,674,718,565.6,56,132.4,130
2,521.5,53,674,718,565.6,37,145,135
1,619.9,70,674,750,565.6,31.8,145,130
1,612.3,52,680,718,565.6,35,144.6,130
1,528.3,53,674,718,565.6,45.8,145,130
1,612.3,52,680,718,565.6,35,268.5,130
1,420,52,477,695,565.6,28.6,267.3,135
2,600,46,698.5,810,565.6,31.8,180.4,130
2,560.1,36,698.5,807,565.6,31.8,175,130
1,585,50,674,724,565.6,31.8,150.7,130
1,590.3,53,674,718,565.6,56,132.4,130
1,558.5,50,674,731,565.6,34.9,109.8,130
1,680,53,674,901,565.6,31.8,230,130
1,515,53,674,695,565.6,31.8,145,130
1,680,53,674,901,565.6,31.8,261.4,130
1,646,46,685,810,565.6,31.8,129.6,130
1,570,53,674,718,565.6,28.6,180.8,130
1,532.6,53,674,718,565.6,50,151.1,130
2,510,35,750,770,565.6,31.8,117.3,135
1,537,53,674,718,565.6,31.8,85.3,135
1,532.6,50,674,725,565.6,50,150.4,130
1,593.9,50,680,780,565.6,28.6,148.1,130
1,474.7,53,674,671,565.6,31.8,125,130
1,605,53,674,815,565.6,31.8,213,130
1,534.1,44,674,725,565.6,28.6,121.3,130
2,300.5,25,674,380,565.6,31.8,115,135
1,545.6,48,674,700,565.6,28,120.1,130
1,576.5,53,674,718,565.6,55,138.3,130
2,485,34,736,735,565.6,30.2,110,135
2,300.2,25,674,390,565.6,31.8,115,135
1,301.6,23,674,375,565.6,31.8,115,130
1,510,53,674,689,565.6,31.8,106,130
1,301.6,23,674,375,565.6,31.8,115,130
1,520,53,674,763,565.6,31.8,110.6,130
1,640,53,674,870,565.6,31.8,300,130
1,476,53,674,689,565.6,31.8,127.3,130
1,540,53,674,760,565.6,31.8,150,130
2,600,38,705,770,565.6,31.8,155.7,135
2,480,36,670,720,565.6,34.9,135,135
1,515,53,674,718,565.6,31.8,145,130
1,540,53,674,760,565.6,31.8,150,130
1,612.9,49,664,738,565.6,31.8,145,135
1,341.4,30,710,458,565.6,31.8,124.8,135
1,630,53,674,870,565.6,31.8,300,130
1,515,53,670,718,565.6,31.8,152.5,130
1,550,53,674,772,565.6,56,96,130
1,575,53,674,750,565.6,31.8,159.9,130
2,514.8,53,674,718,565.6,31.8,145,130
2,290,32,600,340,565.6,31.8,119.3,130
1,557.2,53,674,718,565.6,31.8,129.9,130
2,520,42,699,753,565.6,35,138.3,135
1,520,53,674,696,565.6,31.8,125,130
2,428,53,684,718,565.6,31.8,95.6,135
1,556.8,50,674,724,565.6,34.9,124,130
1,515,53,674,718,565.6,31.8,145,130
1,306.1,43,694,395,565.6,31.8,125,130
1,597.4,53,674,753,565.6,31.8,201,130
1,597.1,53,674,718,565.6,31.8,178.7,130
2,557.1,36,736,810,565.6,31.8,176.8,130
1,306.4,43,694,395,565.6,31.8,125,130
1,730,53,674,780,565.6,28.6,155.4,130
1,730,53,674,795,565.6,28.6,170,130
2,482.6,38,736,733,565.6,31.8,124,135
1,730,53,674,795,565.6,28.6,170,130
1,532,42,674,684,565.6,31.8,170,120
1,589.2,53,674,718,565.6,27.2,145,130
2,467.9,34,699,753,565.6,30,120.2,135
2,432,44,740,715,565.6,31.8,100,130
1,533.5,50,680,660,565.6,35.8,120.6,130
